"","NO","NO2","O3","PM10"
"FR50004",4.8,13.7,56,14.5
"FR50020",0.14,0.49,64.5,9.6
"FR50042",3.5,9.6,53.4,12.7
"FR50052",3.7,11,53.2,13.6
"FR50053",1.6,6.1,57.5,13.5
"FR50060",4.6,12,52.5,14.1
"FR50200",3.6,14.7,54.4,13.8
"FR50211",3.6,12.4,58.8,14.6
"FR50815",5.1,10.3,63.6,11.1
