"","NO","NO2","O3","PM10"
"FR50004",6.1,14.1,54.3,14.8
"FR50020",0.15,0.58,61.8,10.1
"FR50042",4.5,10.1,52,12.5
"FR50052",4.9,11.3,50.8,15.3
"FR50053",2,6.5,55.2,12.5
"FR50060",6,10.7,47.4,15.4
"FR50200",4.1,14.9,55.7,14.1
"FR50211",3.1,11.1,58.9,13.4
"FR50815",5.8,11.7,58.1,11.5
